id,threads,instr,cyc,stall_cyc,l1d_miss,l2d_acc,l2d_miss,l3_acc,dtlb_m,itlb_m,vec_sp,vec_dp,sp_op,dp_op,fp_scl_sin,fp_scl_dbl,lst_instr,source
gemm.evallab.papi0y379n8gwgbww6px,1,151719000,115843270,65493222,17134758,17101651,40216136,40216527,19248,4,0,50364416,0,50397184,0,50331648,50494850,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,1,151718999,118107175,66658104,17151252,17117360,41189253,41125532,20912,4,0,50364416,0,50397184,0,50331648,50495253,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,1,151719000,115871917,64618166,17162907,17132542,40460141,40462267,22350,3,0,50364416,0,50397184,0,50331648,50495621,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,1,151719001,117444810,66071330,17135377,17103058,40248057,40245732,20549,6,0,50364416,0,50397184,0,50331648,50495613,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,1,151719000,117648329,66363430,17218278,17217314,39570299,39580796,20748,3,0,50364416,0,50397184,0,50331648,50495610,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,1,151719000,115814233,64515472,17149583,17151186,39253011,39248011,21761,3,0,50364416,0,50397184,0,50331648,50495625,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,1,151719002,126050985,73932371,17204625,17172186,40104053,40109507,21947,3,0,50364416,0,50397184,0,50331648,50494867,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,1,151719001,117434815,66182672,17184877,17182845,40047639,39937856,21998,6,0,50364416,0,50397184,0,50331648,50495607,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,1,151719000,123680467,72151256,17232541,17202695,39693676,39693235,19700,6,0,50364416,0,50397184,0,50331648,50495605,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,1,151719001,117120435,65763945,17166661,17167058,39450484,39440838,20707,4,0,50364416,0,50397184,0,50331648,50495621,gemm.evallab.c
