id,threads,n,instr,cyc,stall_cyc,l1d_miss,l2d_acc,l2d_miss,l3_acc,dtlb_m,itlb_m,vec_sp,vec_dp,sp_op,dp_op,fp_scl_sin,fp_scl_dbl,lst_instr
gemm.openmp.papib81n49sek9rg08de,1.0000,512.0000,"545,804,665.0000","166,447,679.3000","19,475,783.4000","16,786,125.0000","6,841,582.3000","33,611,958.6000","33,571,431.6000","233,280.5000",95.7000,0.0000,"134,610,952.0000",0.0000,"268,959,752.0000",0.0000,"262,152.0000","202,381,106.5000"
gemm.openmp.papib81n49sek9rg08de,2.0000,512.0000,"272,905,346.4000","83,235,951.0000","9,721,198.9000","8,393,102.0000","3,403,119.7000","16,852,538.9000","16,859,423.2000","129,759.6000",26.1000,0.0000,"67,305,480.0000",0.0000,"134,479,880.0000",0.0000,"131,080.0000","101,191,950.6000"
gemm.openmp.papib81n49sek9rg08de,3.0000,512.0000,"182,362,839.6000","57,755,542.1000","6,471,787.3000","5,606,705.7000","2,282,077.2000","11,265,785.1000","11,269,423.4000","86,741.8000",61.5000,0.0000,"44,957,960.0000",0.0000,"89,828,360.0000",0.0000,"87,560.0000","67,607,871.4000"
gemm.openmp.papib81n49sek9rg08de,4.0000,512.0000,"136,460,449.7000","43,103,625.4000","5,933,199.3000","4,196,882.7000","1,588,236.0000","8,438,570.0000","8,439,597.1000","63,867.0000",29.1000,0.0000,"33,652,744.0000",0.0000,"67,239,944.0000",0.0000,"65,544.0000","50,599,163.8000"
gemm.openmp.papib81n49sek9rg08de,5.0000,512.0000,"109,811,214.0000","34,520,317.6000","4,796,666.6000","3,377,471.9000","1,276,891.2000","6,812,418.0000","6,813,693.2000","51,496.6000",27.9000,0.0000,"27,079,944.0000",0.0000,"54,107,144.0000",0.0000,"52,744.0000","40,716,006.5000"
gemm.openmp.papib81n49sek9rg08de,6.0000,512.0000,"91,688,263.8000","28,687,043.7000","3,943,568.0000","2,819,517.2000","1,095,333.4000","5,690,078.4000","5,690,754.6000","43,107.2000",20.4000,0.0000,"22,610,440.0000",0.0000,"45,176,840.0000",0.0000,"44,040.0000","33,996,765.6000"
gemm.openmp.papib81n49sek9rg08de,7.0000,512.0000,"78,892,860.2000","24,941,820.2000","3,482,005.2000","2,427,251.1000","1,020,015.3000","4,896,829.8000","4,898,405.2000","37,068.7000",19.1000,0.0000,"19,455,496.0000",0.0000,"38,873,096.0000",0.0000,"37,896.0000","29,254,163.8000"
gemm.openmp.papib81n49sek9rg08de,8.0000,512.0000,"68,245,777.7000","21,953,720.2000","3,187,873.5000","2,099,478.5000","770,746.7000","4,229,275.6000","4,231,678.2000","32,090.0000",28.6000,0.0000,"16,826,376.0000",0.0000,"33,619,976.0000",0.0000,"32,776.0000","25,301,705.8000"
gemm.openmp.papiezd17r8kx6cenjtg,1.0000,256.0000,"69,350,905.9000","22,083,921.6000","2,382,188.4000","2,096,091.8000","614,848.6000","3,948,742.1000","3,948,198.3000","32,906.3000",20.6000,0.0000,"16,875,528.0000",0.0000,"33,685,512.0000",0.0000,"65,544.0000","25,432,443.3000"
gemm.openmp.papiezd17r8kx6cenjtg,2.0000,256.0000,"34,678,546.3000","11,085,205.4000","1,250,358.9000","1,047,118.6000","473,890.4000","2,001,182.5000","2,002,227.8000","16,545.5000",29.9000,0.0000,"8,437,768.0000",0.0000,"16,842,760.0000",0.0000,"32,776.0000","12,717,296.7000"
