id,instr,cyc,stall_cyc,l1d_miss,l2d_acc,l2d_miss,l3_acc,dtlb_m,itlb_m,vec_sp,vec_dp,sp_op,dp_op,fp_scl_sin,fp_scl_dbl,lst_instr,source
gemm.papiapvt8bnv63a1bq90,68751170,20435869,2467153,2097261,725185,4127302,4128998,28491,9,0,16875520,0,33685504,0,65536,25329782,gemm.c
gemm.papiapvt8bnv63a1bq90,68751171,20303319,2376023,2097429,758414,4023156,4018127,28434,5,0,16875520,0,33685504,0,65536,25329781,gemm.c
gemm.papiapvt8bnv63a1bq90,68751170,20846645,2312904,2097290,757707,3804332,3803860,27939,3,0,16875520,0,33685504,0,65536,25329786,gemm.c
gemm.papiapvt8bnv63a1bq90,68751171,20823646,2966307,2097289,760643,3982125,3984061,28062,6,0,16875520,0,33685504,0,65536,25329785,gemm.c
gemm.papiapvt8bnv63a1bq90,68751170,20561481,2527724,2097419,705176,4145778,4146881,28101,4,0,16875520,0,33685504,0,65536,25329784,gemm.c
gemm.papiapvt8bnv63a1bq90,68751170,20594785,2584581,2097382,711773,4160076,4162179,28183,6,0,16875520,0,33685504,0,65536,25329783,gemm.c
gemm.papiapvt8bnv63a1bq90,68751170,20553310,2518847,2097370,743506,4133693,4132696,28329,3,0,16875520,0,33685504,0,65536,25329782,gemm.c
gemm.papiapvt8bnv63a1bq90,68751170,20537311,2513034,2097375,743723,3822125,3817446,28051,3,0,16875520,0,33685504,0,65536,25329773,gemm.c
gemm.papiapvt8bnv63a1bq90,68751170,20779438,2299432,2097419,759725,3992968,3996892,28161,6,0,16875520,0,33685504,0,65536,25329782,gemm.c
gemm.papiapvt8bnv63a1bq90,68751171,20873741,2966640,2097166,740081,4028871,4033925,28013,5,0,16875520,0,33685504,0,65536,25329783,gemm.c
