id,threads,stall_cyc,vec_ops,cyc,source,n
gemm.openmp0ltm8akbmgipivco,1,2868088,16875528,21355167,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,3164043,16875528,21182699,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,2629147,16875528,21363734,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,2703634,16875528,21279585,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,3230418,16875528,20982541,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,3127292,16875528,21246712,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,2838712,16875528,21286296,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,2631681,16875528,21280539,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,3266011,16875528,21243441,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,3409952,16875528,21746079,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,2876226,16875528,21688967,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,3309455,16875528,21543574,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,2559801,16875528,21171281,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,3203635,16875528,21198489,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,3170604,16875528,21554408,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,2621904,16875528,21251277,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,3138852,16875528,21217476,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,2653201,16875528,21268995,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,3119640,16875528,21540980,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,1,2719041,16875528,21338028,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,2,1759952,8437768,10623490,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,2,1351204,8437768,10654544,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,2,1616019,8437768,10800051,gemm.openmp.c,256
