threads,n,stall_cyc,vec_ops,cyc
1,128,41221.25,2121736.0,2406356.9
2,128,24922.65,1060872.0,1220539.6
3,128,16626.5,712776.0,831453.15
4,128,14773.5,530440.0,629147.05
5,128,18510.85,430984.0,517138.55
6,128,13242.0,364680.0,439203.2
7,128,12902.25,314952.0,384953.65
8,128,14671.6,265224.0,336948.2
1,256,2962066.85,16875528.0,21337013.4
2,256,1470366.4,8437768.0,10697599.35
3,256,1006776.8,5669128.0,7223589.25
4,256,866626.25,4218888.0,5596367.25
5,256,730254.25,3427848.0,4482519.95
6,256,578312.5,2834568.0,3801775.65
7,256,488328.3,2439048.0,3185344.1
8,256,414325.4,2109448.0,2804784.7
1,512,23437183.95,134610952.0,162824293.75
2,512,12005831.25,67305480.0,81217405.65
3,512,8188533.7,44957960.0,55833272.85
4,512,7295473.1,33652744.0,41937254.45
5,512,6247219.85,27079944.0,33960459.35
6,512,5057694.4,22610440.0,28096262.9
7,512,4267926.55,19455496.0,24156417.45
8,512,3739781.25,16826376.0,21160149.25
1,1024,189742178.95,1075314696.0,1257416703.15
2,1024,95553517.4,537657351.45,626498260.95
3,1024,66646842.1,359138310.0,432273203.7
4,1024,57207789.15,268828679.2,325483555.45
5,1024,47442648.2,215272968.0,260022832.7
6,1024,38318556.8,179569160.0,216536983.65
7,1024,34753726.9,154366472.0,186917636.8
8,1024,29691475.3,134414344.0,164395119.7
