id,threads,stall_cyc,vec_ops,cyc,source,n
gemm.openmp.papi8punsnydfq4rmw8y,1,2850878,16875528,21245192,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,1,3182092,16875528,21160305,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,1,2623486,16875528,21527274,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,1,2754668,16875528,21340106,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,1,2980199,16875528,21338019,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,1,2612147,16875528,21193860,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,1,2571734,16875528,21178362,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,1,2848773,16875528,21130325,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,1,2819949,16875528,21273449,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,1,3224698,16875528,21618709,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,2,1731965,8437768,10884865,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,2,1681266,8437768,10859458,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,2,1384590,8437768,10671312,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,2,1653468,8437768,10841123,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,2,1683032,8437768,10826253,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,2,1687342,8437768,10845856,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,2,1642920,8437768,10621052,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,2,1311961,8437768,10612174,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,2,1841685,8437768,10698276,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,2,1631701,8437768,10797648,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,3,1005258,5669128,7164395,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,3,1134480,5669128,7287120,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,3,1073175,5669128,7239909,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,3,1077355,5669128,7142581,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,3,874902,5669128,7244731,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,3,1078127,5669128,7285046,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,3,1040914,5669128,7187265,gemm.openmp.c,256
gemm.openmp.papi8punsnydfq4rmw8y,3,1085936,5669128,7272506,gemm.openmp.c,256
