threads,n,stall_cyc,vec_ops,cyc
1,128,54833.0,2121736.0,2409188.9
2,128,21821.9,1060872.0,1224279.5
3,128,22015.5,712776.0,833433.0
4,128,15514.6,530440.0,639082.6
5,128,14283.2,430984.0,514469.9
6,128,13673.0,364680.0,436913.9
7,128,12741.8,314952.0,386199.2
8,128,11782.4,265224.0,336199.6
1,256,2846862.4,16875528.0,21300560.1
2,256,1624993.0,8437768.0,10765801.7
3,256,1054609.0,5669128.0,7226521.9
4,256,839407.6,4218888.0,5572368.5
5,256,681086.5,3427848.0,4471457.6
6,256,537484.9,2834568.0,3672023.7
7,256,457663.1,2439048.0,3166306.4
8,256,412996.0,2109448.0,2776772.1
1,512,24197416.6,134610952.0,162355476.4
2,512,12715811.4,67305480.0,81021396.9
3,512,7972712.2,44957960.0,55960883.3
4,512,7580633.8,33652744.0,42134981.3
5,512,6089983.3,27079944.0,33760413.2
6,512,4944192.4,22610440.0,28065428.7
7,512,4289700.4,19455496.0,24200652.6
8,512,3757247.3,16826376.0,21204478.8
